flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp
HTY134,Awh,2018-04-13,10:00,Algeciras / Helipuerto,AEI,,El vuelo ha despegado a las 10:03,9.0,16.0,Chubascos dispersos,,,2018-04-13,10:10,Ceuta,JCU,,El vuelo ha aterrizado a las 10:12,11.0,17.0,Lluvia,,,2018-04-13 10:33:45
HTY110,Awh,2018-04-13,14:15,Ceuta,JCU,,Llegada prevista a las 14:15,11.0,17.0,Lluvia,,,2018-04-13,14:30,Algeciras / Helipuerto,AEI,,Salida prevista a las 14:35,9.0,16.0,Chubascos dispersos,,,2018-04-13 10:33:47
HTY112,Awh,2018-04-13,15:05,Algeciras / Helipuerto,AEI,,Salida prevista a las 15:10,9.0,16.0,Chubascos dispersos,,,2018-04-13,15:15,Ceuta,JCU,,Llegada prevista a las 15:15,11.0,17.0,Lluvia,,,2018-04-13 10:33:48
HTY114,Awh,2018-04-13,15:35,Algeciras / Helipuerto,AEI,,Salida prevista a las 15:40,9.0,16.0,Chubascos dispersos,,,2018-04-13,15:45,Ceuta,JCU,,Llegada prevista a las 15:45,11.0,17.0,Lluvia,,,2018-04-13 10:33:50
HTY138,Awh,2018-04-13,18:45,Algeciras / Helipuerto,AEI,,Salida prevista a las 18:50,9.0,16.0,Chubascos dispersos,,,2018-04-13,18:55,Ceuta,JCU,,Llegada prevista a las 18:55,11.0,17.0,Lluvia,,,2018-04-13 10:33:51
HTY133,Awh,2018-04-13,09:45,Ceuta,JCU,,El vuelo ha despegado a las 09:48,11.0,17.0,Lluvia,,,2018-04-13,09:55,Algeciras / Helipuerto,AEI,,El vuelo ha aterrizado a las 09:57,9.0,16.0,Chubascos dispersos,,,2018-04-13 10:33:53
HTY109,Awh,2018-04-13,14:15,Ceuta,JCU,,Salida prevista a las 14:15,11.0,17.0,Lluvia,,,2018-04-13,14:25,Algeciras / Helipuerto,AEI,,Llegada prevista a las 14:25,9.0,16.0,Chubascos dispersos,,,2018-04-13 10:33:54
HTY111,Awh,2018-04-13,14:50,Ceuta,JCU,,Salida prevista a las 14:50,11.0,17.0,Lluvia,,,2018-04-13,15:00,Algeciras / Helipuerto,AEI,,Llegada prevista a las 15:00,9.0,16.0,Chubascos dispersos,,,2018-04-13 10:33:55
HTY113,Awh,2018-04-13,15:20,Ceuta,JCU,,Salida prevista a las 15:25,11.0,17.0,Lluvia,,,2018-04-13,15:30,Algeciras / Helipuerto,AEI,,Llegada prevista a las 15:30,9.0,16.0,Chubascos dispersos,,,2018-04-13 10:33:56
HTY137,Awh,2018-04-13,18:30,Ceuta,JCU,,Salida prevista a las 18:30,11.0,17.0,Lluvia,,,2018-04-13,18:40,Algeciras / Helipuerto,AEI,,Llegada prevista a las 18:40,9.0,16.0,Chubascos dispersos,,,2018-04-13 10:33:57
IBE0519,Airbus A319,2018-04-13,09:25,A Coruña,LCG,,El vuelo ha despegado a las 09:36,10.0,15.0,Chubascos dispersos,,3,2018-04-13,10:40,Madrid-Barajas Adolfo Suárez,MAD,4,Llegada prevista a las 11:04,6.0,14.0,Chubascos dispersos,10,16,2018-04-13 10:33:50
TAP1085,Atr-42/72,2018-04-13,11:00,A Coruña,LCG,,Salida prevista a las 11:00,10.0,15.0,Chubascos dispersos,,1,,,Lisboa,LIS,,,,,,,,2018-04-13 10:33:51
AEA7234,Embraer Erj-195,2018-04-13,12:15,A Coruña,LCG,,Salida prevista a las 12:15,10.0,15.0,Chubascos dispersos,,3,2018-04-13,13:25,Madrid-Barajas Adolfo Suárez,MAD,2,Llegada prevista a las 13:22,6.0,14.0,Chubascos dispersos,06,17,2018-04-13 10:33:52
IBE0513,Airbus A320,2018-04-13,13:35,A Coruña,LCG,,Salida prevista a las 13:35,10.0,15.0,Chubascos dispersos,,3,2018-04-13,15:00,Madrid-Barajas Adolfo Suárez,MAD,4,Llegada prevista a las 15:00,6.0,14.0,Chubascos dispersos,10,11,2018-04-13 10:33:53
